id,link,title,author,image_link,publisher,description,genre,format,subject,audience,collection
1060,http://catalog.douglascountylibraries.org//Record/1060,Dinner at the Homesick Restaurant,"Tyler, Anne",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780394523811&upc=&id=1060&size=small,Knopf :,"Pearl Tull is nearing the end of her life, but not her memory. Ever since 1944 when her husband left her, she has raised her three very different children on her own. Now grown, they have gathered together--with anger, with hope, and with a beautiful, harsh, and dazzling story to tell ...",,Book,Families Fiction;Runaway husbands Fiction;Mothers Death Fiction,,Books
4622,http://catalog.douglascountylibraries.org//Record/4622,Danny and the dinosaur,"Hoff, Syd, 1912-2004",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780060224653&upc=&id=4622&size=small,"Harper & Row,",A little boy is surprised and pleased when one of the dinosaurs from the museum agrees to play with him.,,Book,Dinosaurs Juvenile fiction;Play Juvenile fiction,Juvenile,Books
5048,http://catalog.douglascountylibraries.org//Record/5048,The BFG,,http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=5048&size=small,,"Kidsnatched from her orphanage by a BFG (Big Friendly Giant), who spends his life blowing happy dreams to children, Sophie concocts with him a plan to save the world from nine other man-gobbling cannybull giants.",,,,,
18833,http://catalog.douglascountylibraries.org//Record/18833,The Berenstain bears and the truth,"Berenstain, Stan, 1923-2005;Berenstain, Jan, 1923-2012",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780812407273&upc=&id=18833&size=small,"Random House,",Brother and Sister Bear learn how important it is to tell the truth after they accidentally break Mama Bear's most favorite lamp.,,Picture Book,Honesty Juvenile fiction;Bears Juvenile fiction,,Books
19851,http://catalog.douglascountylibraries.org//Record/19851,The horse and his boy,"Lewis, C. S. 1898-1963",http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=19851&size=small,,A boy and a talking horse share an adventurous and dangerous journey to Narnia to warn of invading barbarians.,,Book,,Juvenile,
20314,http://catalog.douglascountylibraries.org//Record/20314,Where the red fern grows :the story of two dogs and a boy,"Rawls, Wilson",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780385323307&upc=&id=20314&size=small,Bantam :,,,Book,Dogs Juvenile fiction;Human-animal relationships Juvenile fiction;Hunting dogs Juvenile fiction,Juvenile,Books
20472,http://catalog.douglascountylibraries.org//Record/20472,Winnie-the-Pooh,"Milne, A. A. 1882-1956",http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=20472&size=small,E. P. Dutton :,,,Book,"Owl (Fictitious character) Juvenile fiction;Robin, Christopher (Fictitious character) Juvenile fiction;Teddy bears Juvenile fiction;Bears Juvenile fiction;Winnie-the-Pooh (Fictitious character) Juvenile fiction;Eeyore (Fictitious character) Juvenile fiction;Tigger (Fictitious character) Juvenile fiction;Piglet (Fictitious character) Juvenile fiction",Juvenile,Books
22749,http://catalog.douglascountylibraries.org//Record/22749,Mike Mulligan and his steam shovel,"Burton, Virginia Lee, 1909-1968",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780395169612&upc=&id=22749&size=small,"Houghton Mifflin Company,",,,Picture Book,Steam shovels Juvenile fiction,Juvenile,Books
23465,http://catalog.douglascountylibraries.org//Record/23465,Watership Down,"Adams, Richard, 1920-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780743277709&upc=&id=23465&size=small,"Perennial,",,Adventure stories;Fantasy fiction,Book,Rabbits Fiction;Heroes Juvenile fiction,,Books
23492,http://catalog.douglascountylibraries.org//Record/23492,A Lantern in her hand,"Aldrich, Bess Streeter, 1881-1954",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0140384286&upc=&id=23492&size=small,"D. Appleton & Company,","After marrying Will Deal and moving to Nebraska, Abbie endures the difficulties of frontier life and raises her children to pursue the ambitions that were once her own.",,Book,Pioneers Fiction;Frontier and pioneer life Nebraska Fiction;Families Nebraska Fiction,,Books
24728,http://catalog.douglascountylibraries.org//Record/24728,Ten apples up on top!,"LeSieg, Theo., 1904-1991",http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=24728&size=small,"Random House, Inc.,","A lion, a dog, and a tiger balance apples on their heads.",,Book,Counting Juvenile fiction;Animals Juvenile fiction,Juvenile,Books
24767,http://catalog.douglascountylibraries.org//Record/24767,Frog and Toad together,"Lobel, Arnold",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780060239596&upc=&id=24767&size=small,Harper & Row :,"Five further adventures of two best friends as they share cookies, plant a garden, and test their bravery.",,Book,Reading rainbow (Television program) Featured book Juvenile fiction;Friendship Juvenile fiction;Frogs Juvenile fiction;Toads Juvenile fiction,Juvenile,Books
24969,http://catalog.douglascountylibraries.org//Record/24969,Little bear's friend,"Minarik, Else Holmelund",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780060242565&upc=&id=24969&size=small,"Harper,",,,Book,Bears Juvenile fiction;Friendship Juvenile fiction,Juvenile,Books
28074,http://catalog.douglascountylibraries.org//Record/28074,All quiet on the western front,"Remarque, Erich Maria, 1898-1970;Wheen, A. W. 1897-1971",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780449911495&upc=&id=28074&size=small,"Little, Brown ;",,War stories,Book,"World War, 1914-1918 Fiction",,Books
